Year,Month,System,TotalVolume_ML
2014,6,Werribee,39463
2014,7,,40067
2014,7,Ballarat,41424
2014,7,Bendigo,107740
2014,7,Broken,40836
2014,7,Campaspe,180879
2014,7,Geelong,76789
2014,7,Glenelg/Wimmera,228239
2014,7,Goulburn,3171104
2014,7,Latrobe,238725
2014,7,Loddon,139122
2014,7,Maribyrnong,18676
2014,7,Melbourne,1404705
2014,7,Murray,3798463
2014,7,Ovens,29026
2014,7,South Gippsland,10573
2014,7,Thomson/Macalister,163117
2014,7,Werribee,40667
2014,8,,43232
2014,8,Ballarat,45347
2014,8,Bendigo,112639
2014,8,Broken,40550
2014,8,Campaspe,174110
2014,8,Geelong,80555
2014,8,Glenelg/Wimmera,248395
2014,8,Goulburn,3324727
2014,8,Latrobe,243691
2014,8,Loddon,142909
2014,8,Maribyrnong,18264
2014,8,Melbourne,1444233
2014,8,Murray,3942682
2014,8,Ovens,32281
2014,8,South Gippsland,10573
2014,8,Thomson/Macalister,160404
2014,8,Werribee,42322
2014,9,,48570
2014,9,Ballarat,45709
2014,9,Bendigo,112060
2014,9,Broken,40479
2014,9,Campaspe,171977
2014,9,Geelong,79380
2014,9,Glenelg/Wimmera,238756
2014,9,Goulburn,3332595
2014,9,Latrobe,244548
2014,9,Loddon,136851
2014,9,Maribyrnong,17913
2014,9,Melbourne,1457833
2014,9,Murray,4003451
2014,9,Ovens,32352
2014,9,South Gippsland,10542
2014,9,Thomson/Macalister,176015
2014,9,Werribee,41743
2014,10,,41711
2014,10,Ballarat,45010
2014,10,Bendigo,110346
2014,10,Broken,39733
2014,10,Campaspe,151789
2014,10,Geelong,76202
2014,10,Glenelg/Wimmera,224055
2014,10,Goulburn,3123123
2014,10,Latrobe,244504
2014,10,Loddon,131589
2014,10,Maribyrnong,17412
